ocid,id,contracts/0/id,contracts/0/suppliers/0/id,contracts/0/suppliers/0/name
ocds-lcuori-121050,ocds-lcuori-121050/3-contract,121050,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-121056,ocds-lcuori-121056/3-contract,121056,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-121058,ocds-lcuori-121058/3-contract,121058,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121060,ocds-lcuori-121060/3-contract,121060,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-121055,ocds-lcuori-121055/3-contract,121055,HN-RTN-08019995304450,"FORMULAS QUIMICAS, S DE R.L."
ocds-lcuori-121067,ocds-lcuori-121067/3-contract,121067,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-121068,ocds-lcuori-121068/3-contract,121068,HN-RTN-08019001228290,"""A Z COMERCIAL S DE R.L."""
ocds-lcuori-121069,ocds-lcuori-121069/3-contract,121069,HN-RTN-08019002261399,REPREQUIMICA
ocds-lcuori-121070,ocds-lcuori-121070/4-contract,121070,HN-RTN-08131974001970,DIREVA 
ocds-lcuori-121071,ocds-lcuori-121071/3-contract,121071,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121063,ocds-lcuori-121063/3-contract,121063,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-121064,ocds-lcuori-121064/3-contract,121064,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-121065,ocds-lcuori-121065/3-contract,121065,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121073,ocds-lcuori-121073/3-contract,121073,HN-RTN-08019001228290,"""A Z COMERCIAL S DE R.L."""
ocds-lcuori-121074,ocds-lcuori-121074/3-contract,121074,HN-RTN-08019001228290,"""A Z COMERCIAL S DE R.L."""
ocds-lcuori-121075,ocds-lcuori-121075/3-contract,121075,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121077,ocds-lcuori-121077/3-contract,121077,HN-RTN-08019015739463,"AGUA LA TIGRA,S. DE R.L."
ocds-lcuori-121081,ocds-lcuori-121081/3-contract,121081,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-121082,ocds-lcuori-121082/3-contract,121082,HN-RTN-08019012466571,REDIPO
ocds-lcuori-121084,ocds-lcuori-121084/3-contract,121084,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121080,ocds-lcuori-121080/3-contract,121080,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121087,ocds-lcuori-121087/3-contract,121087,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121088,ocds-lcuori-121088/3-contract,121088,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-121089,ocds-lcuori-121089/3-contract,121089,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121090,ocds-lcuori-121090/3-contract,121090,HN-RTN-08019012466571,REDIPO
